logFC	AveExpr	t	P.Value	adj.P.Val	B	mutated_AVG	unmutated_AVG	deltaBeta	CHR	MAPINFO	Strand	Type	gene	feature	cgi	feat.cgi	UCSC_CpG_Islands_Name	DHS	Enhancer	Phantom	Probe_SNPs	Probe_SNPs_10	CpG_island
0.656440313314593	0.414022490414881	19.7064246112167	2.24835932468842e-51	1.12417966234421e-47	106.238577419851	0.128783544748421	0.785223858063014	0.656440313314593	14	56157197	F	II		IGR	opensea	IGR-opensea		NA	TRUE				cg03462096
0.617552566199467	0.503192996039881	18.9376635460063	6.66562663109855e-49	1.66640665777464e-45	100.601495236303	0.234851702393684	0.852404268593151	0.617552566199466	10	334731	R	I	DIP2C	Body	opensea	Body-opensea		NA	NA				cg07629149
0.633867398095184	0.437453955682738	18.0921753793556	3.70011170190513e-46	6.16685283650855e-43	94.3411261859821	0.162023479129474	0.795890877224658	0.633867398095184	18	77116310	R	II	ATP9B	Body	opensea	Body-opensea		NA	NA	low-CpG:75217298-75217299			cg21394039
0.655625998626345	0.406777513147024	18.0237408572617	6.18600759270625e-46	7.73250949088281e-43	93.8318941882266	0.121892406601053	0.777518405227397	0.655625998626345	3	9808060	R	II	OGG1	3'UTR	shelf	3'UTR-shelf	chr3:9811466-9811736	NA	NA				cg20782816
0.646509408480173	0.45312822195	17.4039537929452	6.59567017877411e-44	6.59567017877411e-41	89.2047402312568	0.172204490884211	0.818713899364384	0.646509408480173	17	62969294	R	II	FLJ32065	Body	shelf	Body-shelf	chr17:62971515-62972293	NA	NA				cg15236196
0.55476439104434	0.38013671836369	17.2567533456903	2.00656639550128e-43	1.67213866291774e-40	88.102059105046	0.139078381778947	0.693842772823288	0.55476439104434	2	242127852	F	II	ANO7	TSS200	opensea	TSS200-opensea		NA	TRUE				cg18861762
0.617943068918919	0.473233826429167	16.8805832637464	3.46478388017253e-42	2.47484562869467e-39	85.2784464446278	0.204722850053684	0.822665918972603	0.617943068918919	19	1621124	F	I	TCF3	Body	shore	Body-shore	chr19:1621666-1621901	NA	TRUE				cg26615224
0.637755618764182	0.418442349519048	16.8591130992105	4.07745513805026e-42	2.54840946128141e-39	85.117056129253	0.141322348508421	0.779077967272603	0.637755618764182	5	158379078	F	II	EBF1	Body	opensea	Body-opensea		NA	TRUE				cg11181763
0.574704158499611	0.365398447030952	16.6156846715161	2.58704050854978e-41	1.4372447269721e-38	83.285631993923	0.115675806730526	0.690379965230137	0.574704158499611	7	2078786	R	II	MAD1L1	Body	opensea	Body-opensea		NA	NA				cg04848693
0.594798417782264	0.443107714961905	16.5696020791799	3.67144606088459e-41	1.83572303044229e-38	82.938620541161	0.184653640568421	0.779452058350685	0.594798417782264	14	22993190	F	II		IGR	opensea	IGR-opensea		NA	NA				cg03035162
0.61387196948372	0.494003926890476	16.4616082310135	8.34217129978366e-41	3.79189604535621e-38	82.125043880278	0.227261940150526	0.841133909634247	0.61387196948372	16	85289802	R	II		IGR	opensea	IGR-opensea		NA	NA				cg26441291
0.544809951472718	0.395828382089881	16.39248826115	1.41098500032234e-40	5.87910416800976e-38	81.6040715245861	0.159095486509474	0.703905437982192	0.544809951472718	5	158303922	F	II	EBF1	Body	opensea	Body-opensea		NA	TRUE				cg21188858
0.645229114120187	0.516598559341071	16.3496789853479	1.9539996806235e-40	7.51538338701345e-38	81.2813137636732	0.236231146657895	0.881460260778082	0.645229114120187	10	334773	R	I	DIP2C	Body	opensea	Body-opensea		NA	NA				cg23844018
