HC_1	HC_10	HC_11	HC_12	HC_13	HC_2	HC_3	HC_4	HC_5	HC_6	HC_7	HC_8	HC_9	PTB_1	PTB_10	PTB_11	PTB_12	PTB_13	PTB_2	PTB_3	PTB_4	PTB_5	PTB_6	PTB_7	PTB_8	PTB_9	Gene.name	variance
0	0	0	0	6.56667242980324	0	6.61606518513282	5.18178355029209	6.7093043402583	0	0	0	0	0	5.90808293816893	1.38629436111989	6.46302945692067	6.41836493593621	6.75460409948796	0	6.51025834052315	6.4281052726846	5.76205138278018	0.693147180559945	5.89440283426485	6.80128303447162	ENSG00000129824	1.00099875251442
0	0	0	0	6.24222326545517	5.4249500174814	5.14166355650266	0	5.06890420222023	0.693147180559945	6.5424719605068	0	5.48893772615669	6.38012253689976	6.70808408385307	6.19031540585315	5.74300318780948	0	6.87109129461055	6.51471269087253	0.693147180559945	0	0.693147180559945	5.32300997913841	0	0	ENSG00000254415	0.955142380616287
1.09861228866811	0.693147180559945	0	0.693147180559945	6.33682573114644	0	6.4723462945009	4.89783979995091	6.28226674689601	0	1.38629436111989	1.38629436111989	0	0.693147180559945	6.36990098282823	0.693147180559945	6.32793678372919	6.28599809450886	6.36647044773144	0	6.4707995037826	6.61069604471776	6.26720054854136	0.693147180559945	5.39816270151775	6.62140565176413	ENSG00000067048	0.931057852381339
0	0	0	0	6.04025471127741	0.693147180559945	5.91889385427315	5.54907608489522	5.58724865840025	0	0.693147180559945	0	0	0	5.71042701737487	1.09861228866811	5.96100533962327	5.99645208861902	5.82304589548302	0	6.13988455222626	5.97380961186926	5.40717177146012	0	4.94875989037817	6.10255859461357	ENSG00000198692	0.916329635795917
0	0	0	0	5.54907608489522	0.693147180559945	5.4510384535657	3.78418963391826	5.4249500174814	0	0	0	0	0	5.57215403217776	0.693147180559945	5.51342874616498	5.71042701737487	5.8805329864007	0	6.03548143252476	5.88887795833288	5.18178355029209	0	4.49980967033027	5.8805329864007	ENSG00000183878	0.877577727417114
0	0	0	0	5.74939298590825	0.693147180559945	5.30826769740121	4.06044301054642	5.73979291217923	0	0	0	0	0	4.91998092582813	0	5.66642668811243	5.4971682252932	5.71042701737487	0	5.7037824746562	5.71042701737487	5.33753807970132	0.693147180559945	4.44265125649032	5.75890177387728	ENSG00000012817	0.865611677675001
6.35262939631957	3.55534806148941	5.97888576490112	5.90808293816893	0	6.13772705408623	0	0	0	3.98898404656427	5.3890717298165	4.53259949315326	4.21950770517611	6.76503897678054	0	4.93447393313069	0	0	0.693147180559945	5.89164421182577	0	0	1.09861228866811	4.11087386417331	0	0	ENSG00000229807	0.862023131712011
0	0	0	0	5.605802066296	0	4.91998092582813	3.89182029811063	5.24702407216049	0	0	0	0	0	5.06890420222023	0	5.15905529921453	5.0998664278242	5.04342511691925	0	5.57215403217776	5.39816270151775	4.61512051684126	0.693147180559945	4.11087386417331	5.26269018890489	ENSG00000114374	0.813364451490248
0	0	0	0	5.10594547390058	1.09861228866811	4.63472898822964	3.52636052461616	5.03043792139244	0	0	0	0	0	4.14313472639153	0	4.92725368515721	4.83628190695148	4.53259949315326	0	5.0998664278242	5.22035582507832	4.60517018598809	0	3.97029191355212	5.08759633523238	ENSG00000131002	0.751307097597079
1.79175946922805	1.38629436111989	1.38629436111989	0	5.07517381523383	1.38629436111989	4.96284463025991	3.78418963391826	5.29831736654804	0.693147180559945	1.6094379124341	0	0	2.484906649788	4.49980967033027	0	5.12396397940326	5.07517381523383	5.30330490805908	0	5.12989871492307	5.33271879326537	4.91265488573605	0	3.97029191355212	5.17048399503815	ENSG00000099725	0.681259222213065
0.693147180559945	0	0	0	4.53259949315326	1.09861228866811	4.36944785246702	3.40119738166216	4.69134788222914	0	0	0	0.693147180559945	0	4.47733681447821	0.693147180559945	4.26267987704132	4.39444915467244	4.54329478227	0	4.55387689160054	4.84418708645859	4.20469261939097	0	3.89182029811063	4.74493212836325	ENSG00000067646	0.661618136642069
5.08759633523238	4.00733318523247	1.09861228866811	0	4.89034912822175	1.09861228866811	5.03695260241363	0.693147180559945	5.95324333428778	1.38629436111989	0.693147180559945	0.693147180559945	4.49980967033027	1.6094379124341	1.38629436111989	3.61091791264422	5.23110861685459	4.93447393313069	5.32787616878958	4.77912349311153	4.92725368515721	4.82028156560504	0.693147180559945	0	0.693147180559945	5.24174701505964	ENSG00000188856	0.654258837990434
4.96284463025991	3.68887945411394	0.693147180559945	4.969813299576	1.09861228866811	0	5.39362754635236	3.89182029811063	1.79175946922805	0	0.693147180559945	1.38629436111989	0	4.99721227376411	4.18965474202643	0.693147180559945	1.38629436111989	0	1.79175946922805	0.693147180559945	5.62040086571715	0.693147180559945	0	0.693147180559945	5.01727983681492	5.12396397940326	ENSG00000213058	0.647572911289845
4.63472898822964	4.80402104473326	4.51085950651685	3.89182029811063	0	0	4.26267987704132	1.94591014905531	5.6937321388027	2.19722457733622	3.2188758248682	0	2.07944154167984	1.38629436111989	5.74300318780948	5.00394630594546	0	0.693147180559945	3.85014760171006	4.77068462446567	3.17805383034795	0	5.17614973257383	2.63905732961526	2.56494935746154	4.65396035015752	ENSG00000229391	0.587062676333406
5.72031177660741	5.41164605185504	4.45434729625351	4.85981240436167	0	2.89037175789616	4.99043258677874	1.79175946922805	6.36990098282823	2.39789527279837	3.95124371858143	4.38202663467388	2.70805020110221	3.36729582998647	6.55393340402581	4.61512051684126	0	4.77912349311153	1.6094379124341	5.52146091786225	3.98898404656427	3.8286413964891	5.97888576490112	0.693147180559945	4.29045944114839	5.72031177660741	ENSG00000237541	0.548875305529398
0	0.693147180559945	1.94591014905531	0.693147180559945	1.09861228866811	1.09861228866811	1.38629436111989	0	5.8664680569333	3.52636052461616	0	0	0	0	0.693147180559945	0	2.07944154167984	1.6094379124341	1.6094379124341	0	5.52146091786225	0	0.693147180559945	1.09861228866811	5.6970934865054	0	ENSG00000147206	0.519014655212081
3.52636052461616	3.78418963391826	4.68213122712422	0	0	3.63758615972639	3.91202300542815	1.79175946922805	0	2.83321334405622	0	0	3.09104245335832	4.61512051684126	0	3.49650756146648	3.68887945411394	3.36729582998647	4.23410650459726	4.12713438504509	3.61091791264422	3.97029191355212	4.00733318523247	3.66356164612965	0.693147180559945	0	ENSG00000204792	0.499259774419054
3.61091791264422	0	3.25809653802148	3.46573590279973	3.91202300542815	4.48863636973214	3.52636052461616	3.17805383034795	2.63905732961526	0	0	2.77258872223978	2.83321334405622	2.89037175789616	2.07944154167984	0	0	0.693147180559945	4.47733681447821	4.59511985013459	0.693147180559945	4.33073334028633	0	0	0.693147180559945	0	ENSG00000185736	0.492166045003029
2.39789527279837	5.83773044716594	2.89037175789616	3.13549421592915	4.74493212836325	5.00394630594546	3.46573590279973	3.73766961828337	2.94443897916644	4.74493212836325	6.70441435496411	7.20414929203594	2.19722457733622	2.39789527279837	2.19722457733622	1.09861228866811	3.29583686600433	7.09257371597468	6.38687931936265	1.79175946922805	2.89037175789616	2.83321334405622	5.34233425196481	5.50533153593236	2.39789527279837	4.0943445622221	ENSG00000036448	0.484793887709703
2.19722457733622	4.34380542185368	1.09861228866811	2.63905732961526	1.94591014905531	1.79175946922805	5.65599181081985	7.80139132029149	2.484906649788	3.52636052461616	1.6094379124341	2.77258872223978	0.693147180559945	1.09861228866811	2.39789527279837	2.77258872223978	2.56494935746154	0	0	4.39444915467244	3.13549421592915	2.89037175789616	1.38629436111989	3.04452243772342	0	1.94591014905531	ENSG00000196565	0.484588278902371
4.60517018598809	4.33073334028633	0	1.94591014905531	3.49650756146648	1.09861228866811	4.7361984483945	1.09861228866811	1.09861228866811	0	0.693147180559945	0	0	4.75359019110636	0	0	4.46590811865458	0.693147180559945	1.38629436111989	0.693147180559945	0.693147180559945	2.484906649788	2.07944154167984	0.693147180559945	4.14313472639153	1.09861228866811	ENSG00000188056	0.479183419067578
1.09861228866811	3.76120011569356	4.15888308335967	4.49980967033027	1.09861228866811	0	3.3322045101752	2.30258509299405	3.95124371858143	3.36729582998647	1.38629436111989	0	0	0.693147180559945	1.6094379124341	0	3.85014760171006	0.693147180559945	0	0	4.00733318523247	0	0	1.09861228866811	4.17438726989564	0	ENSG00000276345	0.472916732700642
3.3322045101752	3.09104245335832	0	2.89037175789616	3.04452243772342	0	0	0	0	2.07944154167984	2.89037175789616	2.39789527279837	2.484906649788	4.00733318523247	0	0	0	3.2188758248682	4.07753744390572	2.63905732961526	0	2.77258872223978	5.64190707093811	0	1.6094379124341	0	ENSG00000282651	0.465323787362164
2.63905732961526	1.09861228866811	4.54329478227	3.52636052461616	3.80666248977032	4.17438726989564	2.63905732961526	0	5.23644196282995	0	3.66356164612965	1.09861228866811	1.09861228866811	4.31748811353631	4.7361984483945	2.63905732961526	3.49650756146648	4.91998092582813	2.63905732961526	3.78418963391826	0	4.27666611901606	0	2.89037175789616	1.38629436111989	3.58351893845611	ENSG00000112139	0.447688174179847
1.94591014905531	5.82894561761021	2.07944154167984	2.39789527279837	2.19722457733622	1.94591014905531	2.07944154167984	1.6094379124341	1.09861228866811	2.07944154167984	2.07944154167984	1.79175946922805	0	3.71357206670431	6.62406522779989	4.0943445622221	1.38629436111989	1.09861228866811	5.38449506278909	4.06044301054642	2.30258509299405	3.09104245335832	3.46573590279973	1.09861228866811	0	4.39444915467244	ENSG00000100336	0.445965677302361
