weights	features	abs_weight
-0.740542407965676	cg01370294/NA	0.740542407965676
-0.741528847527618	cg25795774/NA	0.741528847527618
-0.742807195599727	cg14195115/SHB	0.742807195599727
-0.742971426987752	cg17648080/SMG6	0.742971426987752
-0.743023033010174	cg13934406/PPT2	0.743023033010174
-0.743208002373877	cg05903736/HDAC4	0.743208002373877
-0.743450885162743	cg09507184/ISG20L2	0.743450885162743
-0.743813990870512	cg03754705/SAPS1	0.743813990870512
-0.743887625019173	cg06174858/TDGF1	0.743887625019173
-0.744117080685538	cg26538782/NA	0.744117080685538
-0.744754510629168	cg12466613/NR3C1	0.744754510629168
-0.744860207408427	cg18436788/LRRC47	0.744860207408427
-0.745584889756635	cg26682517/OSBPL3	0.745584889756635
-0.745966248705668	cg12978275/CD80	0.745966248705668
-0.746103386931922	cg17073169/NA	0.746103386931922
-0.746223132017284	cg09606208/PUS10	0.746223132017284
-0.746337190883509	cg20445727/NA	0.746337190883509
-0.746525887348831	cg16510070/IL21R	0.746525887348831
-0.747576165471844	cg06025456/PPT2	0.747576165471844
-0.749857056096224	cg01375075/NA	0.749857056096224
-0.750205253397516	cg17589449/RNF185	0.750205253397516
-0.750660676545397	cg23547143/ARSD	0.750660676545397
-0.751655621544368	cg12926341/NA	0.751655621544368
-0.751827546052402	cg00392257/ISG20L2	0.751827546052402
-0.752568713657773	cg13672525/MDM4	0.752568713657773
-0.752952270641095	cg11063877/LARP4	0.752952270641095
-0.753221195357943	cg09909478/ABR	0.753221195357943
-0.754254988223792	cg19276186/C8orf12	0.754254988223792
-0.755491621427776	cg13279700/C6orf10	0.755491621427776
-0.756091589221796	cg19687529/SLCO3A1	0.756091589221796
-0.758224064748356	cg21375017/OSBPL10	0.758224064748356
-0.758583204437736	cg26788216/IL1RL2	0.758583204437736
-0.75898114421064	cg03117487/CACNA1E	0.75898114421064
-0.759505901005314	cg15329866/PLD1	0.759505901005314
-0.760569701817535	cg21703255/NA	0.760569701817535
-0.760760978583979	cg00083596/SDK1	0.760760978583979
-0.761148501585691	cg17883068/TCF12	0.761148501585691
-0.761177840565105	cg00163459/MKKS	0.761177840565105
-0.761518822579928	cg08196608/NA	0.761518822579928
-0.761664275109794	cg26842310/NA	0.761664275109794
-0.761671538179617	cg20373894/COMMD1	0.761671538179617
-0.763128452645979	cg13581779/TMEM212	0.763128452645979
-0.763178434034363	cg23063070/PVT1	0.763178434034363
-0.763627119729317	cg10379077/CLEC16A	0.763627119729317
-0.763893034094857	cg19747271/SCAND3	0.763893034094857
-0.764234159459742	cg22628512/NA	0.764234159459742
-0.764514599964927	cg19926250/GPR87	0.764514599964927
-0.765417705357326	cg00194771/GSG1	0.765417705357326
-0.765834041721558	cg04267284/PYGB	0.765834041721558
-0.767191375677986	cg11692070/NAPEPLD	0.767191375677986
-0.767946543806107	cg05930586/NA	0.767946543806107
-0.768162142299784	cg00678005/TNKS	0.768162142299784
-0.770042942900325	cg09502069/DEGS1	0.770042942900325
-0.770521493191589	cg07016730/SBF1	0.770521493191589
-0.772077988167886	cg27063969/DOCK2	0.772077988167886
-0.772701369805412	cg19588016/ASAP2	0.772701369805412
-0.77323434533699	cg20698942/EPS15	0.77323434533699
-0.773267411418024	cg15978561/HDAC4	0.773267411418024
-0.774588286675277	cg12964420/NA	0.774588286675277
-0.775587818876241	cg14524754/B3GNTL1	0.775587818876241
-0.776555192879898	cg13276570/ANKRD33B	0.776555192879898
-0.777065805801759	cg22283754/PVT1	0.777065805801759
-0.778320071063404	cg17014214/CTBP2	0.778320071063404
-0.778936954164773	cg13033858/SSH1	0.778936954164773
-0.779283335698609	cg13311655/NA	0.779283335698609
-0.780372748388626	cg15033552/CAPN2	0.780372748388626
-0.780719751106065	cg19102955/TRMT6	0.780719751106065
-0.781468755181507	cg15080351/FAM50B	0.781468755181507
-0.782059978621727	cg00001269/NA	0.782059978621727
-0.782520419021789	cg04950627/NA	0.782520419021789
-0.782816150200284	cg21524538/SDCBP2	0.782816150200284
-0.783492045743961	cg09985793/IGDCC3	0.783492045743961
-0.783608111511058	cg22235258/EHF	0.783608111511058
-0.78462197871825	cg04613057/MYO9B	0.78462197871825
-0.784747457806104	cg18188653/LPP	0.784747457806104
-0.786059540926204	cg11209521/GNG12	0.786059540926204
-0.786606708113948	cg25190513/GPR109B	0.786606708113948
-0.787685369549293	cg03930929/LRRN1	0.787685369549293
-0.788070121116468	cg00568164/TSPAN18	0.788070121116468
-0.789452063500255	cg14325436/ABHD8	0.789452063500255
-0.793207452865305	cg15989608/TNF	0.793207452865305
-0.793877327706366	cg21622202/CDCA7	0.793877327706366
-0.794138989353391	cg12811871/ZFYVE28	0.794138989353391
-0.794237757546306	cg25905215/NFKB1	0.794237757546306
-0.794409108654091	cg01890417/ZNF644	0.794409108654091
-0.794726485691991	cg02349866/AP3S2	0.794726485691991
-0.799003812633823	cg11464297/NA	0.799003812633823
-0.799048298936486	cg15689969/TRIO	0.799048298936486
-0.799317844836937	cg13947735/B3GNTL1	0.799317844836937
-0.799411595777672	cg00350405/IWS1	0.799411595777672
-0.799579267567192	cg21187195/NA	0.799579267567192
-0.799649413531003	cg20995564/ZEB2	0.799649413531003
-0.800146694897072	cg17357548/NA	0.800146694897072
-0.800306195733042	cg21162528/GPR133	0.800306195733042
-0.800441852675318	cg12203957/OLR1	0.800441852675318
-0.800551563256321	cg16481280/PPT2	0.800551563256321
-0.800994467165429	cg27012021/NA	0.800994467165429
-0.802778124207095	cg10317164/IRAK2	0.802778124207095
-0.804836248834683	cg09711214/TEAD1	0.804836248834683
-0.807434803197089	cg12619015/TM9SF2	0.807434803197089
-0.807577102025584	cg26898567/TMEM220	0.807577102025584
-0.807611792740657	cg08496123/HAS1	0.807611792740657
-0.808584470696619	cg16380885/BASP1	0.808584470696619
-0.808874611222685	cg21688152/B3GNTL1	0.808874611222685
-0.810378640076186	cg07589972/NR3C1	0.810378640076186
-0.81115263484582	cg20380768/MEST	0.81115263484582
-0.811333447057716	cg09838169/INPP5A	0.811333447057716
-0.812034811129125	cg11720896/NA	0.812034811129125
-0.812291694440741	cg11756387/PTP4A2	0.812291694440741
-0.812997072313895	cg13447566/FIBCD1	0.812997072313895
-0.813303650313769	cg10512194/TMEM212	0.813303650313769
-0.814418722664935	cg25423174/NA	0.814418722664935
-0.814777288954065	cg10766282/NA	0.814777288954065
-0.815514777241171	cg27660099/EEPD1	0.815514777241171
-0.815630890791622	cg06767314/ABR	0.815630890791622
-0.817120871339019	cg27636058/ZDHHC5	0.817120871339019
-0.817121731439392	cg24492886/PTAFR	0.817121731439392
-0.817845075853685	cg18861762/ANO7	0.817845075853685
-0.818272163472588	cg10501210/NA	0.818272163472588
-0.818870697765985	cg09087901/PLG	0.818870697765985
-0.818957185636897	cg06118546/CR1L	0.818957185636897
-0.819232035489653	cg19639490/SCAMP2	0.819232035489653
-0.820064899351532	cg12860109/NIPAL2	0.820064899351532
-0.820102265934435	cg10410483/NA	0.820102265934435
-0.8207552732515	cg21400896/ABI3	0.8207552732515
-0.821488652170153	cg08565003/ZCCHC14	0.821488652170153
-0.822571040707117	cg18279625/NA	0.822571040707117
-0.823885274078152	cg05539265/NA	0.823885274078152
-0.824719093607113	cg23247068/PDXK	0.824719093607113
-0.825693109496989	cg17680611/TPM4	0.825693109496989
-0.826337037976776	cg19825182/GPR183	0.826337037976776
-0.826806461647408	cg18333220/NA	0.826806461647408
-0.827478486739402	cg05992395/NA	0.827478486739402
-0.827935391171261	cg23414759/EXOC4	0.827935391171261
-0.828624140437189	cg04875821/NA	0.828624140437189
-0.828978215091034	cg25576093/NA	0.828978215091034
-0.829717996979136	cg01310875/C8orf80	0.829717996979136
-0.830825041726814	cg26628069/B3GNTL1	0.830825041726814
-0.831920905169633	cg26252045/ABTB2	0.831920905169633
-0.832108502617811	cg00395579/RRM2B	0.832108502617811
-0.833084047575019	cg19009132/EMP1	0.833084047575019
-0.833548501776824	cg20212364/NA	0.833548501776824
-0.83442484849093	cg07048415/CTBP2	0.83442484849093
-0.836361507832408	cg15689121/NA	0.836361507832408
-0.838056096702041	cg22449085/TNNI1	0.838056096702041
-0.839143741407956	cg14003090/NA	0.839143741407956
-0.839515018069275	cg00733722/NA	0.839515018069275
-0.84070673492041	cg02212846/FNDC1	0.84070673492041
-0.840730531030749	cg21188858/EBF1	0.840730531030749
-0.842697962852265	cg26982447/ANKRD34B	0.842697962852265
-0.842927131818505	cg26165146/ARNTL2	0.842927131818505
-0.846774074090002	cg01141721/SRC	0.846774074090002
-0.849053340080343	cg21913528/IVNS1ABP	0.849053340080343
-0.850982449651874	cg01796225/CHORDC1	0.850982449651874
-0.854941682805495	cg02956248/PPT2	0.854941682805495
-0.855991865361799	cg08171667/NA	0.855991865361799
-0.857832002328005	cg23359665/PPT2	0.857832002328005
-0.859444403828593	cg02576153/NA	0.859444403828593
-0.861251570280474	cg13156207/NA	0.861251570280474
-0.861884413022111	cg15362455/PLA1A	0.861884413022111
-0.86219500482373	cg19224793/NA	0.86219500482373
-0.863792975751381	cg11558820/NA	0.863792975751381
-0.865314111045648	cg26451198/SCAMP2	0.865314111045648
-0.866948684022537	cg13756014/NA	0.866948684022537
-0.869427015466038	cg22262152/ODF1	0.869427015466038
-0.869493434328231	cg17610889/NA	0.869493434328231
-0.869782619187215	cg11472422/B3GNTL1	0.869782619187215
