X	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.name
ENSG00000125740	120.40686148195	3.73458534231324	0.554361836120039	6.73672879152628	1.61992135153846e-11	8.66387936181151e-08	FOSB
ENSG00000176083	109.855799235013	2.64087648931888	0.389636312899205	6.77779868531415	1.22020709242157e-11	8.66387936181151e-08	ZNF683
ENSG00000275302	287.335851799045	1.80518809793315	0.267232757308624	6.75511533882938	1.42721673488326e-11	8.66387936181151e-08	CCL4
ENSG00000149557	30.2620717815811	2.17613862266166	0.345081197231969	6.30616399884236	2.86035953359324e-10	1.14736171791259e-06	FEZ1
ENSG00000110848	125.294212590774	1.40548068373398	0.228950938872241	6.13878541253009	8.31548035011473e-10	2.22369803695985e-06	CD69
ENSG00000229474	96.1409904625838	0.926406633065802	0.150519549919948	6.15472630338384	7.52072624324439e-10	2.22369803695985e-06	PATL2
ENSG00000105374	4240.09525652011	1.56611428550736	0.259942344048161	6.02485251582251	1.69263899684153e-09	3.87977038633177e-06	NKG7
ENSG00000196139	71.6658510315623	2.2849558881561	0.381472053645216	5.98983822359159	2.10049871452881e-09	4.21281273432684e-06	AKR1C3
ENSG00000276070	229.706188841706	2.56337351478149	0.444785366024609	5.76316963323757	8.25487513541021e-09	1.32449471547657e-05	CCL4L2
ENSG00000230537	6.38964098583145	3.23535202397676	0.577875851721987	5.5986973920711	2.15968399847786e-08	2.31014198370515e-05	AL158071.2
ENSG00000276085	109.253004339612	2.73992761935876	0.487246593918607	5.6232873734905	1.87357335553947e-08	2.31014198370515e-05	CCL3L3
ENSG00000156475	61.9069289877464	1.72219636482457	0.308763181562895	5.57772580301566	2.43683360255584e-08	2.44368719706303e-05	PPP2R2B
ENSG00000134539	599.234146767383	1.70009502948186	0.308521271985307	5.51046292056914	3.57891199894447e-08	2.80945938261104e-05	KLRD1
ENSG00000172543	1421.20652257381	1.59613781070783	0.288584888419291	5.53091265260144	3.18568937223636e-08	2.80945938261104e-05	CTSW
ENSG00000236790	19.8131864983313	1.64260002224149	0.297511241819927	5.52113598193274	3.36814986088955e-08	2.80945938261104e-05	LINC00299
ENSG00000181036	336.060339112275	1.63707333638709	0.299814623094085	5.46028515718314	4.7537043145848e-08	3.46696298761423e-05	FCRL6
ENSG00000115738	603.900010918737	0.817066146329418	0.150481888215776	5.4296643670355	5.64601325076572e-08	3.774595108689e-05	ID2
ENSG00000159674	537.432742963475	1.61496069387139	0.297315084049237	5.43181554018948	5.57835698236535e-08	3.774595108689e-05	SPON2
ENSG00000073756	831.670129126442	2.06254131753497	0.383973824380963	5.37156750426979	7.80551375445932e-08	4.81690262270384e-05	PTGS2
ENSG00000211695	67.4681728969099	2.52235859838905	0.470416326697351	5.36197078043137	8.23188581042797e-08	4.89187436401173e-05	TRGV9
ENSG00000001561	80.6313505077998	1.14244281053034	0.213386537011848	5.3538654618445	8.60948844056601e-08	4.93354435817435e-05	ENPP4
ENSG00000139187	202.857137861083	1.6206331158904	0.303713516431461	5.33605858222029	9.49887232817606e-08	5.25549677605465e-05	KLRG1
ENSG00000157985	49.6056424304008	1.62157549666773	0.304993232374779	5.31675894590056	1.05631857820429e-07	5.29644737102745e-05	AGAP1
ENSG00000100450	1417.88902814434	1.75013592356469	0.332675428279603	5.2607910737963	1.43436942831695e-07	6.83058609901367e-05	GZMH
ENSG00000168209	308.600868511798	1.40653899821871	0.270645855953424	5.19697223245409	2.02560605984301e-07	8.55285506057397e-05	DDIT4
ENSG00000007402	81.4171284372845	1.52456842039657	0.295583248238392	5.15783093082117	2.49827043519466e-07	0.000100211872831746	CACNA2D2
ENSG00000211689	234.75489430981	2.1115811448847	0.413419852941011	5.10759493010121	3.26285183756641e-07	0.000118982858485803	TRGC1
ENSG00000254682	39.9741946766973	1.39923755111381	0.27475424576151	5.09268763885952	3.53023047063279e-07	0.000120712124513414	AP002387.1
ENSG00000123689	396.27355084706	2.66118773039339	0.526111024163346	5.05822461071856	4.23177818258461e-07	0.00013306780975971	G0S2
ENSG00000152795	844.306313550571	0.672969733607709	0.133332901538148	5.0472893475221	4.48122424148812e-07	0.000135662722555994	HNRNPDL
ENSG00000007264	556.971204653569	1.42543144541112	0.285456333281706	4.99351837468051	5.92891420685335e-07	0.000172962597179931	MATK
ENSG00000125384	318.567451265607	0.8201982675409	0.164685904001724	4.98037930151152	6.34597713080313e-07	0.000178633689585502	PTGER2
ENSG00000131089	80.0440907770086	0.97448510686438	0.196966555874391	4.9474648248702	7.51862851385865e-07	0.000193512255515611	ARHGEF9
ENSG00000150687	147.307919866753	1.91269247867413	0.38700087465042	4.94234665593941	7.71878114864387e-07	0.000193512255515611	PRSS23
ENSG00000171101	56.7723338898368	1.51851285081583	0.306753062347517	4.95027772239655	7.41076531987953e-07	0.000193512255515611	SIGLEC17P
ENSG00000197057	49.9361727897222	1.79154330149625	0.362380972427291	4.943811728017	7.66096923423786e-07	0.000193512255515611	DTHD1
ENSG00000063180	30.1411648027224	1.05262449548407	0.213779941073482	4.9238693312309	8.48495053832913e-07	0.000206274289981047	CA11
ENSG00000188042	1140.18987042769	0.945523482238443	0.192536847176327	4.91087028849353	9.06730557638799e-07	0.000213948408784037	ARL4C
ENSG00000181104	190.385061412435	1.26479926961811	0.257981761919923	4.90266932129375	9.45430612253448e-07	0.000219846872081255	F2R
ENSG00000141076	122.923452796747	0.63069771126622	0.12941531627973	4.87343947684656	1.09671877311549e-06	0.000250567212508641	UTP4
ENSG00000115523	2733.97418225831	1.7444407342285	0.35907026111945	4.85821557260122	1.18448407848707e-06	0.000263958986657293	GNLY
ENSG00000116667	123.850148661245	1.42025497245269	0.293952869006888	4.83157377320719	1.35458006612046e-06	0.000289789828812036	C1orf21
ENSG00000197540	535.698886103131	1.15710543982678	0.23941523889476	4.83304841065448	1.34458073555783e-06	0.000289789828812036	GZMM
ENSG00000256128	5.65041748497429	2.67770448817273	0.553656034734844	4.83640441028541	1.32208806165591e-06	0.000289789828812036	LINC00944
ENSG00000100453	1031.51836277511	1.6499656718392	0.343210003547535	4.80745215694355	1.52865986093343e-06	0.000310472752768062	GZMB
ENSG00000120129	9169.04100057453	1.22945611055548	0.256138573465936	4.79996469847986	1.58693600740721e-06	0.000318279852985609	DUSP1
ENSG00000170962	48.8242647133284	1.9206783715342	0.402338044536514	4.77379257968703	1.80788584090898e-06	0.000345327718064102	PDGFD
ENSG00000171476	255.556255720899	1.72620620044596	0.361513161463985	4.77494704053238	1.79754552616353e-06	0.000345327718064102	HOPX
ENSG00000251022	63.5498361511275	0.893124051529171	0.187724476764628	4.75763239254614	1.95876787943817e-06	0.000360794257348559	THAP9-AS1
ENSG00000020633	1407.11060726642	0.906999055531375	0.1930134892755	4.69914853586612	2.61248399577518e-06	0.000451148851953312	RUNX3
ENSG00000117281	89.0043932818959	1.52248169065936	0.325072806431261	4.6835098492968	2.8200389686951e-06	0.000465891638551192	CD160
ENSG00000167286	985.193480402806	1.02829971447498	0.220691660440281	4.65944074381205	3.17069652745999e-06	0.000508738257830956	CD3D
ENSG00000167037	17.0561300019719	1.76562970024834	0.379507338528405	4.65242571354437	3.28052936120296e-06	0.000511270703543972	SGSM1
ENSG00000178498	62.4387379790964	0.931358790258047	0.200139066292354	4.65355818587441	3.26255481940458e-06	0.000511270703543972	DTX3
ENSG00000205336	987.374292971447	1.47551177382836	0.317386181403335	4.64894774972347	3.3363270850988e-06	0.000511270703543972	ADGRG1
ENSG00000162543	12.7139870152464	1.93240954219908	0.416791973390198	4.63638857169154	3.5454918266345e-06	0.000536673739229723	UBXN10
ENSG00000137441	846.694409167631	1.7836374000702	0.38557532928801	4.62591163019637	3.72954300962997e-06	0.000548801124309653	FGFBP2
ENSG00000149527	27.0894779799463	1.54184322607731	0.333334325190486	4.62551591467878	3.73667111640921e-06	0.000548801124309653	PLCH2
ENSG00000102317	1169.54238788096	0.739851055893112	0.160216841917189	4.61781075597231	3.87809669651245e-06	0.00055557197763877	RBM3
ENSG00000268355	5.13888555295926	2.41746889351126	0.525049430185495	4.60426914977736	4.13916868153776e-06	0.000577504013002377	AC243960.3
ENSG00000158050	156.192615885068	1.97280539736731	0.428904443348408	4.59963851613624	4.23224701250965e-06	0.000580396609536046	DUSP2
ENSG00000145649	785.147134857244	1.39520995756746	0.304528603246465	4.58153993645801	4.61564435400191e-06	0.000612049699669096	GZMA
ENSG00000170522	40.5634452628122	1.36620601233829	0.298832658223254	4.5718095888891	4.83530230439074e-06	0.000630751426617475	ELOVL6
ENSG00000180739	400.621175305069	1.38890100650717	0.305142344290028	4.55164952520346	5.32269490720427e-06	0.000672461730599153	S1PR5
ENSG00000224032	90.1871272253775	0.855456316792464	0.188198411357337	4.54550232715932	5.48043916555109e-06	0.000686981612588026	EPB41L4A-AS1
ENSG00000173200	108.430087574944	0.946180828533455	0.209280969716566	4.52110304063906	6.15182325393505e-06	0.000747772758404454	PARP15
ENSG00000122121	16.9069352616989	1.58305034989287	0.350759492854276	4.51320743171034	6.38545138508278e-06	0.000770335093786867	XPNPEP2
ENSG00000254092	2.51874224291116	3.99276137252437	0.885459909881484	4.50925143867754	6.50567674343959e-06	0.00077321172850732	AC021613.1
