terms_articles_tot	Freq
author information	35
cancer cells	5
medical genetics	5
tumor suppressor	5
clinical features	4
colony formation	4
highly expressed	4
molecular mechanisms	4
molecular medicine	4
pathogenic variants	4
breast cancer	3
chromatin immunoprecipitation	3
clinical genetics	3
colorectal cancer	3
expression levels	3
expression patterns	3
general surgery	3
genetic analysis	3
intellectual disability	3
promoted proliferation	3
protein levels	3
transcription factor	3
adjacent normal	2
anti-fhl1 autoantibodies	2
autism center	2
binding sites	2
biomedical imaging	2
blood samples	2
breast cancer cells	2
business media	2
cancer development	2
cancer genome	2
cancer genome atlas	2
cancer medicine	2
chain reaction	2
chromosomal microarray	2
clinical characteristics	2
clinical information	2
clinical presentation	2
development institute	2
disease pathogenesis	2
domain protein	2
genetic characteristics	2
genome atlas	2
genotype-phenotype correlation	2
histone lysine	2
human cancers	2
human genetics	2
idiopathic inflammatory	2
idiopathic inflammatory myopathies	2
inflammatory myopathies	2
lysine demethylases	2
molecular biology	2
molecular mechanism	2
mouse model	2
muscle biopsies	2
muscle cells	2
myeloid leukemia	2
negatively regulating	2
neurodevelopmental disorder	2
neurodevelopmental disorders	2
otud5 expression	2
ovarian tumor	2
overexpression reversed	2
papillary thyroid	2
papillary thyroid cancer	2
polymerase chain	2
polymerase chain reaction	2
positively correlated	2
regulatory mechanism	2
seaver autism	2
seaver autism center	2
sexual dimorphism	2
short hairpin	2
short stature	2
signaling pathway	2
smc1a expression	2
smooth muscle	2
smooth muscle cells	2
structural maintenance	2
therapeutic target	2
thyroid cancer	2
tspyl2 expression	2
tumor growth	2
underlying mechanisms	2
x-linked genes	2
β-catenin pathway	2
β-catenin signaling	2
terms_articles_tot	Freq
author information	70
interest statement	38
cancer cells	10
medical genetics	10
transwell assays	10
tumor suppressor	10
clinical features	8
colony formation	8
highly expressed	8
molecular mechanisms	8
molecular medicine	8
pathogenic variants	8
breast cancer	6
chromatin immunoprecipitation	6
clinical genetics	6
colorectal cancer	6
expression levels	6
expression patterns	6
general surgery	6
genetic analysis	6
intellectual disability	6
promoted proliferation	6
protein levels	6
transcription factor	6
adjacent normal	4
anti-fhl1 autoantibodies	4
autism center	4
binding sites	4
biomedical imaging	4
blood samples	4
breast cancer cells	4
business media	4
cancer development	4
cancer genome	4
cancer genome atlas	4
cancer medicine	4
chain reaction	4
chromosomal microarray	4
clinical characteristics	4
clinical information	4
clinical presentation	4
development institute	4
disease pathogenesis	4
domain protein	4
frequently observed	4
genetic characteristics	4
genome atlas	4
genotype-phenotype correlation	4
healthy controls	4
histone lysine	4
human cancers	4
human genetics	4
idiopathic inflammatory	4
idiopathic inflammatory myopathies	4
inflammatory myopathies	4
longhua hospital	4
lysine demethylases	4
molecular biology	4
molecular mechanism	4
mouse model	4
muscle biopsies	4
muscle cells	4
myeloid leukemia	4
negatively regulating	4
neurodevelopmental disorder	4
neurodevelopmental disorders	4
otud5 expression	4
ovarian tumor	4
overexpression reversed	4
papillary thyroid	4
papillary thyroid cancer	4
polymerase chain	4
polymerase chain reaction	4
positively correlated	4
regulatory mechanism	4
remains unclear	4
seaver autism	4
seaver autism center	4
sexual dimorphism	4
short hairpin	4
short stature	4
signaling pathway	4
significantly downregulated	4
significantly higher	4
smc1a expression	4
smooth muscle	4
smooth muscle cells	4
structural maintenance	4
therapeutic target	4
thyroid cancer	4
tspyl2 expression	4
tumor growth	4
underlying mechanisms	4
x-linked genes	4
β-catenin pathway	4
β-catenin signaling	4
-based studies	2
-based studies revealed	2
-induced asthma	2
-induced asthma mouse	2
-induced asthma mouse model	2
aarskog-scott syndrome	2
abl-induced malignant	2
abl-induced malignant transformation	2
abnormal cytoplasmic	2
abnormal cytoplasmic vacuoles	2
above-mentioned promoting effect	2
acetylation level	2
activate c-myc	2
activate c-myc signal	2
activate c-myc signal transduction	2
activates expression	2
activates stat3	2
activating c-myc	2
activating c-myc signal	2
activating c-myc signal transduction	2
activation system	2
activation system induced	2
active h3k4me3	2
active h3k4me3 modification	2
active uba1b	2
actively expressed	2
actively expressed coinciding	2
activity vulnerable	2
acute myeloid	2
acute myeloid leukemia	2
acute myeloid leukemia cells	2
additive effects	2
additive proviral	2
additive proviral functions	2
adhesion kinase	2
adjacent normal tissue	2
adjacent x-linked	2
adjacent x-linked genes	2
adult females	2
adult females expressing	2
advanced human	2
advanced human cancers	2
advanced tumor	2
affected females	2
affected individuals	2
affecting methionine-41	2
aggressive phenotypes	2
aging markers	2
aging markers including	2
airway inflammation	2
airway smooth	2
airway smooth muscle	2
airway smooth muscle cells	2
all-trans retinoic	2
allergy asthma	2
alleviates hypoxia-induced	2
alleviates hypoxia-induced pulmonary	2
alleviates hypoxia-induced pulmonary vascular	2
alleviates hypoxia-induced pulmonary vascular remodeling	2
altered physiological	2
alternative splicing	2
anabolic effects	2
analysis methods	2
analyze proliferation	2
anion channel	2
anti-asthmatic mir-224-5p	2
anti-asthmatic mir-224-5p inhibits	2
anti-fhl1- counterparts	2
anti-fhl1- patients	2
anti-ro52 autoantibodies	2
anti-ro52 autoantibodies specifically	2
antigen analysis	2
antitumor mechanism	2
apoptosis rates	2
apparently unaffected	2
apparently unaffected female	2
applied cancer	2
applied cancer science	2
armstrong oxygen	2
armstrong oxygen biology	2
armstrong oxygen biology research	2
armstrong oxygen biology research center	2
arterial hypertension	2
artery smooth	2
artery smooth muscle	2
artery smooth muscle cells	2
artificial modulation	2
assessed potential	2
associate laboratory	2
asthma mouse	2
asthma mouse model	2
asthma-like airway	2
asthma-like airway inflammation	2
attenuated vaccine	2
attenuated vaccine candidates	2
australian clinical genetics	2
australian clinical genetics service	2
australian myositis	2
australian myositis database	2
australian scleroderma	2
australian scleroderma cohort	2
